amp_path,pha_path,meta_path,receiver_domain,anchor_label,session_id,source_file,window_index,is_flagged_bad,CF_MHz,CBW_MHz,A_rx,S_kept,amp_mean,amp_std,phase_std,presence,session_key
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00069.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00069.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00069.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,69,False,5805.0,20.0,2,41,156.54152446994243,5.514883280771764,0.07992332807953584,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00221.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00221.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00221.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,221,False,5805.0,20.0,2,41,161.34365584811707,3.5518208656156958,0.06612159689929828,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00291.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00291.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00291.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,291,False,5805.0,20.0,2,41,165.79442717339856,4.604546961728044,0.0751120782804669,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00283.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00283.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00283.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,283,False,5805.0,20.0,2,41,167.49938833364368,4.396173359903869,0.04714859781022436,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00065.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00065.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00065.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,65,False,5805.0,20.0,2,41,152.28429627208078,3.8963583553803174,0.06272655947959291,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00105.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00105.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00105.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,105,False,5805.0,20.0,2,41,155.21975196905012,2.5655291402047378,0.07004688574829922,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00243.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00243.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00243.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,243,False,5805.0,20.0,2,41,160.04315976888472,3.0864676040921664,0.05272569200016911,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00128.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00128.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00128.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,128,False,5805.0,20.0,2,41,156.38687589136114,2.763792082770072,0.10291490245790481,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00189.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00189.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00189.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,189,False,5805.0,20.0,2,41,157.02795494144058,3.2354632595597863,0.053948713716093666,1,A__Corner_LeftDown
/home/tonyliao/Location/A/Corner_LeftDown/amp_window_00204.npy,/home/tonyliao/Location/A/Corner_LeftDown/pha_window_00204.npy,/home/tonyliao/Location/A/Corner_LeftDown/meta_00204.mat,A,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_A_Corner_LeftDown.csi,204,False,5805.0,20.0,2,41,156.8714068820344,2.454516600803535,0.07423937909928369,1,A__Corner_LeftDown
