amp_path,pha_path,meta_path,receiver_domain,anchor_label,session_id,source_file,window_index,is_flagged_bad,CF_MHz,CBW_MHz,A_rx,S_kept,amp_mean,amp_std,phase_std,presence,session_key
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00127.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00127.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00127.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,127,False,5805.0,20.0,2,41,117.30134114727728,5.160960469478907,0.07859418024826573,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00062.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00062.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00062.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,62,False,5805.0,20.0,2,41,119.04148500015165,4.364757873629013,0.11381995841678416,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00150.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00150.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00150.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,150,False,5805.0,20.0,2,41,115.53808709800622,4.999495303600513,0.06334994996197965,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00151.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00151.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00151.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,151,False,5805.0,20.0,2,41,115.64679901617293,5.646716131034763,0.08801772263172786,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00185.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00185.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00185.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,185,False,5805.0,20.0,2,41,122.1048546731881,2.4989185371011846,0.09048885907288573,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00181.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00181.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00181.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,181,False,5805.0,20.0,2,41,121.43828270318447,3.7117806107533067,0.08222919254315163,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00194.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00194.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00194.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,194,False,5805.0,20.0,2,41,122.31129156321305,5.790326629769035,0.10047939654941071,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00230.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00230.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00230.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,230,False,5805.0,20.0,2,41,120.38268940843922,4.8315640715394705,0.0606164913555637,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00204.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00204.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00204.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,204,False,5805.0,20.0,2,41,121.34149421070295,3.6641731628293943,0.060169058505476034,1,B__Corner_LeftDown
/home/tonyliao/Location/B/Corner_LeftDown/amp_window_00256.npy,/home/tonyliao/Location/B/Corner_LeftDown/pha_window_00256.npy,/home/tonyliao/Location/B/Corner_LeftDown/meta_00256.mat,B,Corner_LeftDown,,C:\Users\khunk\WIFI_SENSING_AoA\hybrid joint classification-regression model\Location_B_Corner_LeftDown.csi,256,False,5805.0,20.0,2,41,119.71516246143054,2.141756886825217,0.04728726522461518,1,B__Corner_LeftDown
